Date,District,Year,Month,DayOfWeek,Rape_Time,Kidnapping and Abduction_Time,Dowry Deaths_Time,Assault on women with intent to outrage her modesty_Time,Insult to modesty of Women_Time,Cruelty by Husband or his Relatives_Time,Importation of Girls_Time,Attempt to commit Rape_Time,Literacy_Rate,Unemployment_Rate,Avg_Income,Police_Stations,Hospitals,Schools,Area,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Attempt to commit Rape,SafetyScore
2022-04-09,Central,2022,4,5,0.0,19,14.0,22,9.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,54,45,1,54,23,49,0,0,4.681127178346311
2007-07-21,Central,2007,7,5,2.0,21,17.0,23,11.0,20.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,30,59,1,124,18,45,0,0,4.60548757879125
2012-05-24,Central,2012,5,3,22.0,23,13.0,20,16.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,30,79,1,99,16,46,0,0,4.614386355209492
2022-10-28,Central,2022,10,4,21.0,21,20.0,18,16.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,42,106,1,165,28,49,0,0,4.436410826844642
2016-09-16,Central,2016,9,4,5.0,22,12.0,2,11.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2008-01-02,Central,2008,1,2,4.0,22,12.0,2,16.0,21.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,64,113,1,59,26,45,0,0,4.559510567296996
2009-03-20,Central,2009,3,4,4.0,22,10.0,0,20.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,41,71,1,156,18,46,0,0,4.522432332220986
2010-06-09,Central,2010,6,2,4.0,21,17.0,23,14.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,50,41,1,92,18,46,0,0,4.648498331479422
2004-08-08,Central,2004,8,6,2.0,23,12.0,0,14.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,62,99,1,73,26,47,0,0,4.559510567296996
2019-04-12,Central,2019,4,4,21.0,20,9.0,20,17.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2018-04-16,Central,2018,4,0,0.0,18,12.0,23,19.0,21.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,55,83,1,166,12,44,0,0,4.480904708935855
2004-09-11,Central,2004,9,5,21.0,22,20.0,21,17.0,18.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2017-08-13,Central,2017,8,6,3.0,18,20.0,18,17.0,21.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2005-05-10,Central,2005,5,1,0.0,18,17.0,1,14.0,18.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,66,101,2,155,25,49,0,0,4.426028921023359
2009-08-06,Central,2009,8,3,20.0,20,12.0,2,15.0,20.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2015-01-19,Central,2015,1,0,3.0,18,18.0,21,11.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,64,56,2,138,23,47,0,0,4.526881720430108
2019-01-05,Central,2019,1,5,22.0,20,9.0,1,10.0,19.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,69,81,2,127,12,49,0,0,4.512050426399703
2011-06-03,Central,2011,6,4,23.0,18,7.0,23,19.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,51,105,2,87,27,50,0,0,4.538746755654431
2005-09-30,Central,2005,9,4,20.0,20,9.0,0,9.0,20.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2016-06-06,Central,2016,6,0,22.0,23,6.0,1,15.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2007-12-24,Central,2007,12,0,22.0,22,10.0,0,13.0,20.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,40,68,1,125,28,50,0,0,4.553578049684835
2019-02-15,Central,2019,2,4,22.0,18,22.0,1,13.0,20.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2024-09-18,Central,2024,9,2,20.0,23,19.0,1,15.0,18.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2005-08-16,Central,2005,8,1,2.0,23,9.0,23,19.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,46,83,1,76,16,48,0,0,4.615869484612532
2022-09-29,Central,2022,9,3,5.0,21,11.0,23,20.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,28,91,2,46,14,48,0,0,4.676677790137189
2016-01-09,Central,2016,1,5,3.0,19,16.0,20,10.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2016-02-21,Central,2016,2,6,20.0,21,15.0,20,15.0,21.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,37,49,1,114,18,46,0,0,4.623285131627735
2008-12-17,Central,2008,12,2,22.0,21,16.0,1,15.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2017-09-03,Central,2017,9,6,5.0,18,23.0,21,13.0,18.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2017-10-21,Central,2017,10,5,20.0,19,15.0,23,14.0,18.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2019-12-10,Central,2019,12,1,5.0,22,10.0,21,16.0,20.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,42,75,2,66,12,49,0,0,4.651464590285502
2019-11-17,Central,2019,11,6,3.0,20,8.0,23,14.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,28,73,1,73,20,44,0,0,4.661846496106786
2020-06-24,Central,2020,6,2,21.0,18,20.0,1,18.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2019-09-26,Central,2019,9,3,5.0,21,10.0,2,12.0,20.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,48,58,1,99,19,46,0,0,4.614386355209492
2018-04-25,Central,2018,4,2,4.0,18,16.0,21,21.0,18.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,54,106,2,145,20,49,0,0,4.458657767890249
2011-11-10,Central,2011,11,3,2.0,21,16.0,0,12.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,42,85,1,98,14,49,0,0,4.587690025954765
2006-02-02,Central,2006,2,3,1.0,20,12.0,22,17.0,21.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2011-02-13,Central,2011,2,6,3.0,18,13.0,2,14.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,53,87,1,91,24,49,0,0,4.563959955506118
2013-08-09,Central,2013,8,4,20.0,18,9.0,1,11.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,39,64,1,100,13,49,0,0,4.621802002224694
2018-11-10,Central,2018,11,5,22.0,21,9.0,18,14.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2021-09-04,Central,2021,9,5,5.0,23,8.0,22,11.0,19.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,57,56,2,116,23,49,0,0,4.566926214312199
2024-06-17,Central,2024,6,0,2.0,19,19.0,23,14.0,19.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2012-05-25,Central,2012,5,4,21.0,21,8.0,21,20.0,20.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2004-06-07,Central,2004,6,0,21.0,18,15.0,21,10.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2008-06-30,Central,2008,6,0,2.0,18,17.0,21,18.0,19.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2004-01-30,Central,2004,1,4,20.0,19,14.0,19,16.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,54,41,2,56,20,44,0,0,4.694475342973674
2015-07-28,Central,2015,7,1,5.0,20,18.0,1,10.0,21.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2009-06-01,Central,2009,6,0,0.0,22,23.0,21,16.0,20.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2009-10-15,Central,2009,10,3,4.0,18,13.0,18,17.0,19.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2019-07-25,Central,2019,7,3,22.0,23,23.0,1,18.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,59,111,2,45,22,47,0,0,4.592139414163886
2024-08-04,Central,2024,8,6,5.0,20,23.0,1,12.0,20.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,40,104,2,109,21,49,0,0,4.534297367445309
2012-08-31,Central,2012,8,4,23.0,22,19.0,1,20.0,19.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,71,91,2,159,16,50,0,0,4.439377085650723
2018-06-29,Central,2018,6,4,4.0,23,14.0,19,13.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,55,84,1,75,18,48,0,0,4.599555061179088
2009-09-12,Central,2009,9,5,20.0,21,6.0,22,9.0,20.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2014-10-19,Central,2014,10,6,2.0,22,14.0,20,12.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,53,67,2,87,13,48,0,0,4.615869484612532
2006-06-21,Central,2006,6,2,23.0,23,19.0,21,17.0,18.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,38,113,1,153,24,46,0,0,4.4601408972932886
2011-12-16,Central,2011,12,4,21.0,23,14.0,0,21.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,28,70,2,47,17,44,0,0,4.707823507601038
2005-06-13,Central,2005,6,0,4.0,19,6.0,2,12.0,21.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,66,73,1,140,28,46,0,0,4.491286614757137
2009-02-04,Central,2009,2,2,1.0,19,15.0,20,14.0,18.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2004-04-28,Central,2004,4,2,0.0,18,6.0,22,11.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,53,57,1,148,13,48,0,0,4.541713014460512
2019-11-11,Central,2019,11,0,20.0,20,11.0,20,17.0,20.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2023-12-01,Central,2023,12,4,22.0,21,16.0,0,19.0,19.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2013-04-01,Central,2013,4,0,22.0,21,12.0,20,12.0,18.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,60,55,1,119,14,48,0,0,4.575824990730442
2022-05-15,Central,2022,5,6,23.0,19,18.0,0,19.0,20.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,57,103,2,164,14,48,0,0,4.440860215053764
2012-09-08,Central,2012,9,5,2.0,19,11.0,23,15.0,18.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2010-12-16,Central,2010,12,3,23.0,20,9.0,2,19.0,21.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,55,62,1,91,23,47,0,0,4.6025213199851684
2005-07-18,Central,2005,7,0,1.0,22,6.0,20,21.0,18.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,48,107,1,161,14,50,0,0,4.451242120875047
2012-04-16,Central,2012,4,0,22.0,23,9.0,20,12.0,18.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2009-08-30,Central,2009,8,6,20.0,21,8.0,2,17.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2021-02-22,Central,2021,2,0,22.0,19,11.0,2,13.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,63,87,2,107,16,46,0,0,4.540229885057471
2017-08-28,Central,2017,8,0,0.0,23,19.0,0,19.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2017-03-03,Central,2017,3,4,0.0,21,16.0,21,18.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,27,77,1,112,22,45,0,0,4.595105672969967
2021-03-07,Central,2021,3,6,20.0,20,23.0,0,11.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,47,46,2,64,24,46,0,0,4.676677790137189
2016-02-08,Central,2016,2,0,3.0,20,17.0,19,18.0,19.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,32,96,2,69,28,50,0,0,4.60548757879125
2021-06-20,Central,2021,6,6,22.0,22,12.0,1,12.0,21.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,46,107,2,69,27,44,0,0,4.578791249536522
2008-10-11,Central,2008,10,5,4.0,19,19.0,2,13.0,19.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2008-05-06,Central,2008,5,1,5.0,23,20.0,0,17.0,19.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2018-08-11,Central,2018,8,5,22.0,21,13.0,21,15.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2015-10-01,Central,2015,10,3,2.0,21,14.0,0,21.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,28,86,1,64,16,47,0,0,4.657397107897664
2018-05-14,Central,2018,5,0,23.0,23,11.0,20,15.0,18.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2014-03-09,Central,2014,3,6,21.0,22,8.0,18,15.0,21.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2008-04-16,Central,2008,4,2,22.0,20,23.0,1,15.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2022-09-24,Central,2022,9,5,0.0,18,23.0,23,15.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,68,60,1,72,26,49,0,0,4.60697070819429
2020-03-11,Central,2020,3,2,22.0,22,13.0,23,15.0,20.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,60,88,2,138,18,50,0,0,4.488320355951057
2021-01-01,Central,2021,1,4,2.0,19,19.0,22,21.0,18.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,70,81,1,157,17,44,0,0,4.467556544308491
2019-06-17,Central,2019,6,0,23.0,18,18.0,1,13.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2022-11-23,Central,2022,11,2,20.0,21,17.0,0,15.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2022-03-11,Central,2022,3,4,4.0,21,19.0,22,19.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2013-10-01,Central,2013,10,1,23.0,21,8.0,21,20.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2022-10-24,Central,2022,10,0,5.0,19,12.0,21,12.0,18.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2023-05-13,Central,2023,5,5,22.0,20,17.0,2,21.0,21.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2020-04-27,Central,2020,4,0,20.0,19,23.0,23,15.0,21.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
