Date,Year,District,Rape,Rape_Time,Kidnapping and Abduction,Kidnapping and Abduction_Time,Dowry Deaths,Dowry Deaths_Time,Assault on women with intent to outrage her modesty,Assault on women with intent to outrage her modesty_Time,Insult to modesty of Women,Insult to modesty of Women_Time,Cruelty by Husband or his Relatives,Cruelty by Husband or his Relatives_Time,Importation of Girls,Importation of Girls_Time,Attempt to commit Rape,Attempt to commit Rape_Time,Literacy_Rate,Unemployment_Rate,Avg_Income,Latitude,Longitude,Police_Stations,Hospitals,Schools,Area,TotalCrimes,DayOfWeek,Month,IsWeekend
2007-04-19,2007,Central,85,52.0,188,1324,4,1410.0,256,177,71,650.0,110,1300.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,3,4,0
2009-03-21,2009,Central,50,1403.0,111,1128,2,733.0,80,1375,13,1127.0,48,1350.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,304,5,3,1
2023-01-19,2023,Central,42,307.0,87,1436,1,1104.0,120,3,25,900.0,45,1423.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,320,3,1,0
2009-03-07,2009,Central,85,290.0,188,1384,4,831.0,256,1325,71,1188.0,110,1386.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,5,3,1
2017-01-24,2017,Central,85,1393.0,188,1351,4,781.0,256,1408,71,871.0,110,1315.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,1,1,0
2019-03-07,2019,Central,30,1252.0,53,1223,2,1147.0,161,165,14,646.0,48,1268.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,308,3,3,0
2018-01-24,2018,Central,85,1238.0,188,1139,4,983.0,256,12,71,958.0,110,1432.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,2,1,0
2009-07-29,2009,Central,85,244.0,188,1135,4,1273.0,256,73,71,851.0,110,1259.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,2,7,0
2016-11-16,2016,Central,85,270.0,188,1256,4,1289.0,256,1328,71,806.0,110,1208.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,2,11,0
2019-02-13,2019,Central,40,337.0,44,1305,1,1080.0,60,1270,18,596.0,49,1244.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,212,2,2,0
2016-09-17,2016,Central,85,265.0,188,1090,4,571.0,256,174,71,941.0,110,1131.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,5,9,1
2014-05-11,2014,Central,85,1290.0,188,1416,4,1136.0,256,1,71,619.0,110,1139.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,6,5,1
2007-11-28,2007,Central,85,1278.0,188,1238,4,1266.0,256,1234,71,930.0,110,1145.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,2,11,0
2012-09-27,2012,Central,85,1277.0,188,1385,4,785.0,256,71,71,694.0,110,1149.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,3,9,0
2005-02-10,2005,Central,85,32.0,188,1217,4,895.0,256,89,71,1084.0,110,1328.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,3,2,0
2023-09-30,2023,Central,85,70.0,188,1272,4,676.0,256,72,71,928.0,110,1222.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,5,9,1
2011-01-10,2011,Central,85,1275.0,188,1435,4,1131.0,256,83,71,1105.0,110,1169.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,0,1,0
2005-08-30,2005,Central,85,1400.0,188,1339,4,941.0,256,166,71,1173.0,110,1311.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,1,8,0
2007-05-23,2007,Central,35,1280.0,66,1221,1,936.0,49,1177,23,700.0,44,1385.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,218,2,5,0
2020-10-20,2020,Central,85,119.0,188,1113,4,1435.0,256,105,71,818.0,110,1241.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,1,10,0
2017-09-21,2017,Central,53,149.0,106,1259,2,412.0,145,143,16,978.0,49,1302.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,371,3,9,0
2004-06-16,2004,Central,36,1410.0,76,1401,2,614.0,149,1356,14,673.0,50,1380.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,327,2,6,0
2004-05-12,2004,Central,85,143.0,188,1405,4,817.0,256,1126,71,1155.0,110,1101.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,2,5,0
2015-06-06,2015,Central,85,24.0,188,1372,4,1422.0,256,88,71,1050.0,110,1246.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,5,6,1
2019-03-21,2019,Central,85,123.0,188,1350,4,457.0,256,139,71,633.0,110,1289.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,3,3,0
2018-05-11,2018,Central,45,1267.0,76,1355,1,1038.0,105,1186,20,986.0,49,1404.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,296,4,5,0
2006-06-15,2006,Central,85,1351.0,188,1160,4,1022.0,256,1371,71,655.0,110,1385.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,3,6,0
2023-12-07,2023,Central,36,60.0,110,1201,2,1168.0,61,1367,15,846.0,46,1165.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,270,3,12,0
2019-07-19,2019,Central,55,1209.0,69,1292,1,733.0,137,164,26,1224.0,46,1125.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,334,4,7,0
2011-07-28,2011,Central,51,1214.0,46,1278,2,1181.0,47,1240,24,861.0,48,1149.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,218,3,7,0
2007-08-18,2007,Central,85,1270.0,188,1163,4,1309.0,256,1095,71,594.0,110,1246.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,5,8,1
2021-09-28,2021,Central,85,336.0,188,1283,4,1095.0,256,1161,71,951.0,110,1418.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,1,9,0
2021-03-28,2021,Central,47,1258.0,89,1152,1,605.0,172,1435,21,1084.0,48,1321.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,378,6,3,1
2022-09-05,2022,Central,68,1341.0,86,1393,2,549.0,87,1278,18,1269.0,47,1345.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,308,0,9,0
2009-05-19,2009,Central,33,1344.0,91,1131,1,763.0,44,1111,17,548.0,49,1095.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,235,1,5,0
2013-04-06,2013,Central,85,27.0,188,1290,4,1027.0,256,1250,71,1181.0,110,1088.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,5,4,1
2017-12-02,2017,Central,85,297.0,188,1222,4,1032.0,256,1140,71,1222.0,110,1388.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,5,12,1
2005-11-05,2005,Central,85,1361.0,188,1339,4,527.0,256,74,71,637.0,110,1413.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,5,11,1
2008-04-23,2008,Central,85,107.0,188,1299,4,999.0,256,1414,71,1231.0,110,1128.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,2,4,0
2018-09-01,2018,Central,57,1300.0,61,1281,1,533.0,147,1199,27,893.0,47,1114.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,340,5,9,1
2011-05-18,2011,Central,85,349.0,188,1153,4,1082.0,256,1303,71,1242.0,110,1323.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,2,5,0
2004-01-17,2004,Central,85,126.0,188,1207,4,625.0,256,1367,71,1059.0,110,1360.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,5,1,1
2005-08-10,2005,Central,41,1332.0,103,1277,2,1433.0,117,164,24,1275.0,48,1421.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,335,2,8,0
2004-10-24,2004,Central,85,120.0,188,1285,4,380.0,256,154,71,654.0,110,1242.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,6,10,1
2012-09-22,2012,Central,69,1266.0,44,1391,2,440.0,162,93,12,1233.0,47,1355.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,336,5,9,1
2022-04-09,2022,Central,54,2.0,45,1152,1,872.0,54,1364,23,597.0,49,1418.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,226,5,4,1
2007-07-21,2007,Central,30,133.0,59,1284,1,1066.0,124,1419,18,664.0,45,1244.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,277,5,7,1
2012-05-24,2012,Central,30,1334.0,79,1382,1,799.0,99,1250,16,981.0,46,1348.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,271,3,5,0
2022-10-28,2022,Central,42,1296.0,106,1310,1,1220.0,165,1118,28,973.0,49,1407.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,391,4,10,0
2016-09-16,2016,Central,85,335.0,188,1334,4,720.0,256,142,71,674.0,110,1378.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,4,9,0
2008-01-02,2008,Central,64,265.0,113,1365,1,745.0,59,148,26,977.0,45,1312.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,308,2,1,0
2009-03-20,2009,Central,41,268.0,71,1335,1,639.0,156,59,18,1223.0,46,1343.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,333,4,3,0
2010-06-09,2010,Central,50,262.0,41,1274,1,1069.0,92,1384,18,899.0,46,1342.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,248,2,6,0
2004-08-08,2004,Central,62,179.0,99,1435,1,724.0,73,18,26,840.0,47,1356.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,308,6,8,1
2019-04-12,2019,Central,85,1292.0,188,1258,4,584.0,256,1200,71,1025.0,110,1396.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,4,4,0
2018-04-16,2018,Central,55,37.0,83,1120,1,778.0,166,1382,12,1182.0,44,1318.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,361,0,4,0
2004-09-11,2004,Central,85,1303.0,188,1352,4,1249.0,256,1272,71,1020.0,110,1117.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,5,9,1
2017-08-13,2017,Central,85,198.0,188,1108,4,1223.0,256,1135,71,1072.0,110,1301.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,6,8,1
2005-05-10,2005,Central,66,28.0,101,1133,2,1042.0,155,86,25,869.0,49,1132.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,398,1,5,0
2009-08-06,2009,Central,85,1213.0,188,1227,4,736.0,256,174,71,924.0,110,1227.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,3,8,0
2015-01-19,2015,Central,64,235.0,56,1093,2,1088.0,138,1268,23,701.0,47,1395.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,330,0,1,0
2019-01-05,2019,Central,69,1332.0,81,1255,2,555.0,127,91,12,624.0,49,1177.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,340,5,1,1
2011-06-03,2011,Central,51,1430.0,105,1117,2,465.0,87,1396,27,1187.0,50,1331.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,322,4,6,0
2005-09-30,2005,Central,85,1209.0,188,1206,4,595.0,256,57,71,565.0,110,1234.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,4,9,0
2016-06-06,2016,Central,85,1377.0,188,1438,4,417.0,256,76,71,950.0,110,1335.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,0,6,0
2007-12-24,2007,Central,40,1367.0,68,1324,1,657.0,125,20,28,781.0,50,1227.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,312,0,12,0
2019-02-15,2019,Central,85,1352.0,188,1134,4,1321.0,256,86,71,807.0,110,1239.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,4,2,0
2024-09-18,2024,Central,85,1208.0,188,1411,4,1194.0,256,106,71,914.0,110,1108.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,2,9,0
2005-08-16,2005,Central,46,156.0,83,1437,1,582.0,76,1402,16,1162.0,48,1435.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,270,1,8,0
2022-09-29,2022,Central,28,353.0,91,1303,2,666.0,46,1426,14,1200.0,48,1337.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,229,3,9,0
2016-01-09,2016,Central,85,185.0,188,1156,4,1012.0,256,1230,71,647.0,110,1323.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,5,1,1
2016-02-21,2016,Central,37,1238.0,49,1311,1,944.0,114,1205,18,933.0,46,1278.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,265,6,2,1
2008-12-17,2008,Central,85,1345.0,188,1266,4,985.0,256,74,71,944.0,110,1407.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,2,12,0
2017-09-03,2017,Central,85,351.0,188,1135,4,1389.0,256,1302,71,794.0,110,1096.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,6,9,1
2017-10-21,2017,Central,85,1203.0,188,1190,4,950.0,256,1382,71,885.0,110,1095.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,5,10,1
2019-12-10,2019,Central,42,315.0,75,1376,2,643.0,66,1310,12,1019.0,49,1251.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,246,1,12,0
2019-11-17,2019,Central,28,238.0,73,1248,1,490.0,73,1416,20,879.0,44,1393.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,239,6,11,1
2020-06-24,2020,Central,85,1289.0,188,1100,4,1245.0,256,65,71,1091.0,110,1394.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,2,6,0
2019-09-26,2019,Central,48,331.0,58,1271,1,657.0,99,136,19,750.0,46,1256.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,271,3,9,0
2018-04-25,2018,Central,54,294.0,106,1087,2,1009.0,145,1265,20,1315.0,49,1128.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,376,2,4,0
2011-11-10,2011,Central,42,157.0,85,1312,1,975.0,98,36,14,763.0,49,1371.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,289,3,11,0
2006-02-02,2006,Central,85,80.0,188,1233,4,743.0,256,1325,71,1055.0,110,1312.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,3,2,0
2011-02-13,2011,Central,53,200.0,87,1118,1,782.0,91,150,24,867.0,49,1405.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,305,6,2,1
2013-08-09,2013,Central,39,1234.0,64,1134,1,570.0,100,75,13,677.0,49,1384.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,266,4,8,0
2018-11-10,2018,Central,85,1358.0,188,1314,4,562.0,256,1133,71,850.0,110,1366.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,5,11,1
2021-09-04,2021,Central,57,323.0,56,1400,2,510.0,116,1362,23,671.0,49,1198.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,303,5,9,1
2024-06-17,2024,Central,85,148.0,188,1160,4,1193.0,256,1429,71,876.0,110,1144.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,0,6,0
2012-05-25,2012,Central,85,1317.0,188,1260,4,498.0,256,1295,71,1207.0,110,1219.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,4,5,0
2004-06-07,2004,Central,85,1319.0,188,1086,4,959.0,256,1311,71,649.0,110,1439.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,0,6,0
2008-06-30,2008,Central,85,129.0,188,1129,4,1076.0,256,1313,71,1085.0,110,1146.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,0,6,0
2004-01-30,2004,Central,54,1237.0,41,1143,2,854.0,56,1160,20,976.0,44,1332.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,217,4,1,0
2015-07-28,2015,Central,85,314.0,188,1255,4,1121.0,256,81,71,654.0,110,1314.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,1,7,0
2009-06-01,2009,Central,85,29.0,188,1364,4,1437.0,256,1284,71,974.0,110,1214.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,0,6,0
2009-10-15,2009,Central,85,290.0,188,1126,4,831.0,256,1085,71,1059.0,110,1141.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,3,10,0
2019-07-25,2019,Central,59,1379.0,111,1402,2,1405.0,45,82,22,1102.0,47,1344.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,286,3,7,0
2024-08-04,2024,Central,40,331.0,104,1256,2,1396.0,109,83,21,749.0,49,1257.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,325,6,8,1
2012-08-31,2012,Central,71,1404.0,91,1351,2,1168.0,159,91,16,1242.0,50,1145.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,389,4,8,0
2018-06-29,2018,Central,55,292.0,84,1392,1,899.0,75,1183,18,838.0,48,1334.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,281,4,6,0
2009-09-12,2009,Central,85,1212.0,188,1302,4,414.0,256,1334,71,565.0,110,1254.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,5,9,1
2014-10-19,2014,Central,53,146.0,67,1347,2,863.0,87,1250,13,725.0,48,1405.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,270,6,10,1
2006-06-21,2006,Central,38,1426.0,113,1389,1,1146.0,153,1279,24,1050.0,46,1138.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,375,2,6,0
2011-12-16,2011,Central,28,1267.0,70,1394,2,898.0,47,19,17,1271.0,44,1398.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,208,4,12,0
2005-06-13,2005,Central,66,256.0,73,1189,1,377.0,140,148,28,741.0,46,1314.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,354,0,6,0
2009-02-04,2009,Central,85,116.0,188,1196,4,907.0,256,1254,71,898.0,110,1110.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,2,2,0
2004-04-28,2004,Central,53,16.0,57,1093,1,403.0,148,1329,13,666.0,48,1433.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,320,2,4,0
2019-11-11,2019,Central,85,1210.0,188,1217,4,707.0,256,1222,71,1026.0,110,1258.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,0,11,0
2023-12-01,2023,Central,85,1369.0,188,1273,4,970.0,256,43,71,1189.0,110,1184.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,4,12,0
2013-04-01,2013,Central,60,1352.0,55,1299,1,769.0,119,1215,14,761.0,48,1089.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,297,0,4,0
2022-05-15,2022,Central,57,1415.0,103,1181,2,1100.0,164,23,14,1190.0,48,1218.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,388,6,5,1
2012-09-08,2012,Central,85,131.0,188,1183,4,667.0,256,1421,71,959.0,110,1115.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,5,9,1
2010-12-16,2010,Central,55,1416.0,62,1221,1,575.0,91,126,23,1149.0,47,1317.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,279,3,12,0
2005-07-18,2005,Central,48,100.0,107,1348,1,362.0,161,1242,14,1314.0,50,1131.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,381,0,7,0
2012-04-16,2012,Central,85,1333.0,188,1408,4,595.0,256,1213,71,721.0,110,1135.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,0,4,0
2009-08-30,2009,Central,85,1236.0,188,1300,4,503.0,256,136,71,1027.0,110,1419.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,6,8,1
2021-02-22,2021,Central,63,1364.0,87,1183,2,714.0,107,131,16,821.0,46,1380.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,321,0,2,0
2017-08-28,2017,Central,85,12.0,188,1405,4,1182.0,256,53,71,1147.0,110,1346.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,0,8,0
