Date,Year,District,Rape,Rape_Time,Kidnapping and Abduction,Kidnapping and Abduction_Time,Dowry Deaths,Dowry Deaths_Time,Assault on women with intent to outrage her modesty,Assault on women with intent to outrage her modesty_Time,Insult to modesty of Women,Insult to modesty of Women_Time,Cruelty by Husband or his Relatives,Cruelty by Husband or his Relatives_Time,Importation of Girls,Importation of Girls_Time,Attempt to commit Rape,Attempt to commit Rape_Time,Literacy_Rate,Unemployment_Rate,Avg_Income,Latitude,Longitude,Police_Stations,Hospitals,Schools,Area,TotalCrimes
17-09-2016,2016,Central,85,04:25,188,18:10,4,09:31,256,02:54,71,15:41,110,18:51,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
11-05-2014,2014,Central,85,21:30,188,23:36,4,18:56,256,00:01,71,10:19,110,18:59,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
28-11-2007,2007,Central,85,21:18,188,20:38,4,21:06,256,20:34,71,15:30,110,19:05,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
27-09-2012,2012,Central,85,21:17,188,23:05,4,13:05,256,01:11,71,11:34,110,19:09,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
10-02-2005,2005,Central,85,00:32,188,20:17,4,14:55,256,01:29,71,18:04,110,22:08,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
30-09-2023,2023,Central,85,01:10,188,21:12,4,11:16,256,01:12,71,15:28,110,20:22,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
10-01-2011,2011,Central,85,21:15,188,23:55,4,18:51,256,01:23,71,18:25,110,19:29,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
30-08-2005,2005,Central,85,23:20,188,22:19,4,15:41,256,02:46,71,19:33,110,21:51,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
23-05-2007,2007,Central,35,21:20,66,20:21,1,15:36,49,19:37,23,11:40,44,23:05,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,218
20-10-2020,2020,Central,85,01:59,188,18:33,4,23:55,256,01:45,71,13:38,110,20:41,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
21-09-2017,2017,Central,53,02:29,106,20:59,2,06:52,145,02:23,16,16:18,49,21:42,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,371
16-06-2004,2004,Central,36,23:30,76,23:21,2,10:14,149,22:36,14,11:13,50,23:00,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,327
12-05-2004,2004,Central,85,02:23,188,23:25,4,13:37,256,18:46,71,19:15,110,18:21,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
06-06-2015,2015,Central,85,00:24,188,22:52,4,23:42,256,01:28,71,17:30,110,20:46,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
21-03-2019,2019,Central,85,02:03,188,22:30,4,07:37,256,02:19,71,10:33,110,21:29,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
11-05-2018,2018,Central,45,21:07,76,22:35,1,17:18,105,19:46,20,16:26,49,23:24,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,296
15-06-2006,2006,Central,85,22:31,188,19:20,4,17:02,256,22:51,71,10:55,110,23:05,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
07-12-2023,2023,Central,36,01:00,110,20:01,2,19:28,61,22:47,15,14:06,46,19:25,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,270
19-07-2019,2019,Central,55,20:09,69,21:32,1,12:13,137,02:44,26,20:24,46,18:45,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,334
28-07-2011,2011,Central,51,20:14,46,21:18,2,19:41,47,20:40,24,14:21,48,19:09,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,218
18-08-2007,2007,Central,85,21:10,188,19:23,4,21:49,256,18:15,71,09:54,110,20:46,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
28-09-2021,2021,Central,85,05:36,188,21:23,4,18:15,256,19:21,71,15:51,110,23:38,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
28-03-2021,2021,Central,47,20:58,89,19:12,1,10:05,172,23:55,21,18:04,48,22:01,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,378
05-09-2022,2022,Central,68,22:21,86,23:13,2,09:09,87,21:18,18,21:09,47,22:25,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,308
19-05-2009,2009,Central,33,22:24,91,18:51,1,12:43,44,18:31,17,09:08,49,18:15,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,235
06-04-2013,2013,Central,85,00:27,188,21:30,4,17:07,256,20:50,71,19:41,110,18:08,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
02-12-2017,2017,Central,85,04:57,188,20:22,4,17:12,256,19:00,71,20:22,110,23:08,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
05-11-2005,2005,Central,85,22:41,188,22:19,4,08:47,256,01:14,71,10:37,110,23:33,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
23-04-2008,2008,Central,85,01:47,188,21:39,4,16:39,256,23:34,71,20:31,110,18:48,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
01-09-2018,2018,Central,57,21:40,61,21:21,1,08:53,147,19:59,27,14:53,47,18:34,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,340
18-05-2011,2011,Central,85,05:49,188,19:13,4,18:02,256,21:43,71,20:42,110,22:03,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
17-01-2004,2004,Central,85,02:06,188,20:07,4,10:25,256,22:47,71,17:39,110,22:40,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
10-08-2005,2005,Central,41,22:12,103,21:17,2,23:53,117,02:44,24,21:15,48,23:41,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,335
24-10-2004,2004,Central,85,02:00,188,21:25,4,06:20,256,02:34,71,10:54,110,20:42,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
22-09-2012,2012,Central,69,21:06,44,23:11,2,07:20,162,01:33,12,20:33,47,22:35,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,336
09-04-2022,2022,Central,54,00:02,45,19:12,1,14:32,54,22:44,23,09:57,49,23:38,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,226
21-07-2007,2007,Central,30,02:13,59,21:24,1,17:46,124,23:39,18,11:04,45,20:44,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,277
24-05-2012,2012,Central,30,22:14,79,23:02,1,13:19,99,20:50,16,16:21,46,22:28,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,271
28-10-2022,2022,Central,42,21:36,106,21:50,1,20:20,165,18:38,28,16:13,49,23:27,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,391
16-09-2016,2016,Central,85,05:35,188,22:14,4,12:00,256,02:22,71,11:14,110,22:58,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
02-01-2008,2008,Central,64,04:25,113,22:45,1,12:25,59,02:28,26,16:17,45,21:52,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,308
20-03-2009,2009,Central,41,04:28,71,22:15,1,10:39,156,00:59,18,20:23,46,22:23,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,333
09-06-2010,2010,Central,50,04:22,41,21:14,1,17:49,92,23:04,18,14:59,46,22:22,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,248
08-08-2004,2004,Central,62,02:59,99,23:55,1,12:04,73,00:18,26,14:00,47,22:36,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,308
12-04-2019,2019,Central,85,21:32,188,20:58,4,09:44,256,20:00,71,17:05,110,23:16,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
16-04-2018,2018,Central,55,00:37,83,18:40,1,12:58,166,23:02,12,19:42,44,21:58,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,361
11-09-2004,2004,Central,85,21:43,188,22:32,4,20:49,256,21:12,71,17:00,110,18:37,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
13-08-2017,2017,Central,85,03:18,188,18:28,4,20:23,256,18:55,71,17:52,110,21:41,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
10-05-2005,2005,Central,66,00:28,101,18:53,2,17:22,155,01:26,25,14:29,49,18:52,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,398
06-08-2009,2009,Central,85,20:13,188,20:27,4,12:16,256,02:54,71,15:24,110,20:27,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
19-01-2015,2015,Central,64,03:55,56,18:13,2,18:08,138,21:08,23,11:41,47,23:15,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,330
05-01-2019,2019,Central,69,22:12,81,20:55,2,09:15,127,01:31,12,10:24,49,19:37,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,340
03-06-2011,2011,Central,51,23:50,105,18:37,2,07:45,87,23:16,27,19:47,50,22:11,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,322
30-09-2005,2005,Central,85,20:09,188,20:06,4,09:55,256,00:57,71,09:25,110,20:34,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
06-06-2016,2016,Central,85,22:57,188,23:58,4,06:57,256,01:16,71,15:50,110,22:15,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
24-12-2007,2007,Central,40,22:47,68,22:04,1,10:57,125,00:20,28,13:01,50,20:27,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,312
15-02-2019,2019,Central,85,22:32,188,18:54,4,22:01,256,01:26,71,13:27,110,20:39,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
18-09-2024,2024,Central,85,20:08,188,23:31,4,19:54,256,01:46,71,15:14,110,18:28,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
16-08-2005,2005,Central,46,02:36,83,23:57,1,09:42,76,23:22,16,19:22,48,23:55,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,270
29-09-2022,2022,Central,28,05:53,91,21:43,2,11:06,46,23:46,14,20:00,48,22:17,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,229
09-01-2016,2016,Central,85,03:05,188,19:16,4,16:52,256,20:30,71,10:47,110,22:03,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
21-02-2016,2016,Central,37,20:38,49,21:51,1,15:44,114,20:05,18,15:33,46,21:18,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,265
17-12-2008,2008,Central,85,22:25,188,21:06,4,16:25,256,01:14,71,15:44,110,23:27,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
03-09-2017,2017,Central,85,05:51,188,18:55,4,23:09,256,21:42,71,13:14,110,18:16,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
21-10-2017,2017,Central,85,20:03,188,19:50,4,15:50,256,23:02,71,14:45,110,18:15,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
10-12-2019,2019,Central,42,05:15,75,22:56,2,10:43,66,21:50,12,16:59,49,20:51,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,246
17-11-2019,2019,Central,28,03:58,73,20:48,1,08:10,73,23:36,20,14:39,44,23:13,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,239
24-06-2020,2020,Central,85,21:29,188,18:20,4,20:45,256,01:05,71,18:11,110,23:14,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
26-09-2019,2019,Central,48,05:31,58,21:11,1,10:57,99,02:16,19,12:30,46,20:56,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,271
25-04-2018,2018,Central,54,04:54,106,18:07,2,16:49,145,21:05,20,21:55,49,18:48,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,376
10-11-2011,2011,Central,42,02:37,85,21:52,1,16:15,98,00:36,14,12:43,49,22:51,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,289
02-02-2006,2006,Central,85,01:20,188,20:33,4,12:23,256,22:05,71,17:35,110,21:52,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
13-02-2011,2011,Central,53,03:20,87,18:38,1,13:02,91,02:30,24,14:27,49,23:25,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,305
09-08-2013,2013,Central,39,20:34,64,18:54,1,09:30,100,01:15,13,11:17,49,23:04,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,266
10-11-2018,2018,Central,85,22:38,188,21:54,4,09:22,256,18:53,71,14:10,110,22:46,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
04-09-2021,2021,Central,57,05:23,56,23:20,2,08:30,116,22:42,23,11:11,49,19:58,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,303
17-06-2024,2024,Central,85,02:28,188,19:20,4,19:53,256,23:49,71,14:36,110,19:04,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
25-05-2012,2012,Central,85,21:57,188,21:00,4,08:18,256,21:35,71,20:07,110,20:19,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
07-06-2004,2004,Central,85,21:59,188,18:06,4,15:59,256,21:51,71,10:49,110,23:59,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
30-06-2008,2008,Central,85,02:09,188,18:49,4,17:56,256,21:53,71,18:05,110,19:06,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
30-01-2004,2004,Central,54,20:37,41,19:03,2,14:14,56,19:20,20,16:16,44,22:12,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,217
28-07-2015,2015,Central,85,05:14,188,20:55,4,18:41,256,01:21,71,10:54,110,21:54,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
01-06-2009,2009,Central,85,00:29,188,22:44,4,23:57,256,21:24,71,16:14,110,20:14,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
15-10-2009,2009,Central,85,04:50,188,18:46,4,13:51,256,18:05,71,17:39,110,19:01,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
25-07-2019,2019,Central,59,22:59,111,23:22,2,23:25,45,01:22,22,18:22,47,22:24,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,286
04-08-2024,2024,Central,40,05:31,104,20:56,2,23:16,109,01:23,21,12:29,49,20:57,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,325
31-08-2012,2012,Central,71,23:24,91,22:31,2,19:28,159,01:31,16,20:42,50,19:05,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,389
29-06-2018,2018,Central,55,04:52,84,23:12,1,14:59,75,19:43,18,13:58,48,22:14,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,281
12-09-2009,2009,Central,85,20:12,188,21:42,4,06:54,256,22:14,71,09:25,110,20:54,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
19-10-2014,2014,Central,53,02:26,67,22:27,2,14:23,87,20:50,13,12:05,48,23:25,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,270
21-06-2006,2006,Central,38,23:46,113,23:09,1,19:06,153,21:19,24,17:30,46,18:58,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,375
16-12-2011,2011,Central,28,21:07,70,23:14,2,14:58,47,00:19,17,21:11,44,23:18,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,208
13-06-2005,2005,Central,66,04:16,73,19:49,1,06:17,140,02:28,28,12:21,46,21:54,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,354
04-02-2009,2009,Central,85,01:56,188,19:56,4,15:07,256,20:54,71,14:58,110,18:30,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
28-04-2004,2004,Central,53,00:16,57,18:13,1,06:43,148,22:09,13,11:06,48,23:53,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,320
11-11-2019,2019,Central,85,20:10,188,20:17,4,11:47,256,20:22,71,17:06,110,20:58,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
01-12-2023,2023,Central,85,22:49,188,21:13,4,16:10,256,00:43,71,19:49,110,19:44,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
01-04-2013,2013,Central,60,22:32,55,21:39,1,12:49,119,20:15,14,12:41,48,18:09,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,297
15-05-2022,2022,Central,57,23:35,103,19:41,2,18:20,164,00:23,14,19:50,48,20:18,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,388
08-09-2012,2012,Central,85,02:11,188,19:43,4,11:07,256,23:41,71,15:59,110,18:35,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
16-12-2010,2010,Central,55,23:36,62,20:21,1,09:35,91,02:06,23,19:09,47,21:57,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,279
18-07-2005,2005,Central,48,01:40,107,22:28,1,06:02,161,20:42,14,21:54,50,18:51,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,381
16-04-2012,2012,Central,85,22:13,188,23:28,4,09:55,256,20:13,71,12:01,110,18:55,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
30-08-2009,2009,Central,85,20:36,188,21:40,4,08:23,256,02:16,71,17:07,110,23:39,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
22-02-2021,2021,Central,63,22:44,87,19:43,2,11:54,107,02:11,16,13:41,46,23:00,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,321
28-08-2017,2017,Central,85,00:12,188,23:25,4,19:42,256,00:53,71,19:07,110,22:26,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
03-03-2017,2017,Central,27,00:12,77,21:38,1,16:15,112,21:24,22,18:06,45,23:10,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,284
07-03-2021,2021,Central,47,20:30,46,20:03,2,23:40,64,00:11,24,11:42,46,22:43,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,229
08-02-2016,2016,Central,32,03:05,96,20:29,2,17:45,69,19:09,28,18:10,50,19:55,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,277
20-06-2021,2021,Central,46,22:57,107,22:40,2,12:29,69,01:28,27,12:26,44,21:20,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,295
11-10-2008,2008,Central,85,04:48,188,19:21,4,19:21,256,02:28,71,13:55,110,19:49,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
06-05-2008,2008,Central,85,05:37,188,23:31,4,20:05,256,00:57,71,17:57,110,19:58,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
11-08-2018,2018,Central,85,22:46,188,21:00,4,13:42,256,21:13,71,15:57,110,23:15,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
01-10-2015,2015,Central,28,02:13,86,21:51,1,14:03,64,00:05,16,21:32,47,22:46,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,242
14-05-2018,2018,Central,85,23:02,188,23:12,4,11:44,256,20:07,71,15:30,110,18:39,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
09-03-2014,2014,Central,85,21:06,188,22:42,4,08:41,256,18:00,71,15:59,110,21:35,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
16-04-2008,2008,Central,85,22:43,188,20:03,4,23:31,256,01:27,71,15:47,110,23:31,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
24-09-2022,2022,Central,68,00:31,60,18:24,1,23:34,72,23:07,26,15:11,49,22:43,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,276
11-03-2020,2020,Central,60,22:22,88,22:36,2,13:08,138,23:17,18,15:47,50,20:24,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,356
01-01-2021,2021,Central,70,02:38,81,19:02,1,19:54,157,22:29,17,21:58,44,18:17,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,370
17-06-2019,2019,Central,85,23:27,188,18:15,4,18:32,256,01:56,71,13:19,110,22:46,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
23-11-2022,2022,Central,85,20:15,188,21:10,4,17:31,256,00:19,71,15:49,110,22:46,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
11-03-2022,2022,Central,85,04:58,188,21:17,4,19:06,256,22:08,71,19:54,110,23:26,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
01-10-2013,2013,Central,85,23:02,188,21:11,4,08:50,256,21:24,71,20:55,110,22:36,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
24-10-2022,2022,Central,85,05:43,188,19:27,4,12:02,256,21:29,71,12:33,110,18:09,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
